,Concordance,Date,Mut,Freq,TotSeq,Perc,Country,new_reported_cases,new_reported_cases_daily,Freq_new,TotSeq_new,new_reported_cases_daily_new
1,yes,01/04/2020,Alpha,0,300,0,Italy,NA,NA,0,251,3028.866667
2,yes,01/05/2020,Alpha,0,74,0,Italy,27556,888.9032258,0,72,850.4516129
3,yes,01/06/2020,Alpha,0,145,0,Italy,7584,252.8,0,141,248.3333333
4,yes,01/07/2020,Alpha,0,66,0,Italy,7006,226,0,66,199.0967742
5,yes,01/08/2020,Alpha,0,90,0,Italy,21702,700.0645161,0,73,609.4516129
6,yes,01/09/2020,Alpha,0,215,0,Italy,45623,1520.766667,0,215,1370.033333
7,yes,01/10/2020,Alpha,0,453,0,Italy,364607,11761.51613,0,451,10809.83871
8,yes,01/11/2020,Alpha,0,279,0,Italy,922206,30740.2,0,224,27785.56667
9,yes,01/12/2020,Alpha,111,1027,0.108081792,Italy,508914,16416.58065,105,940,12923.58065
10,yes,01/01/2021,Alpha,240,1318,0.182094082,Italy,445585,14373.70968,233,1278,12492.74194
11,yes,01/02/2021,Alpha,1572,3115,0.504654896,Italy,372503,13303.67857,1531,3024,12537.17857
12,yes,01/03/2021,Alpha,4725,5877,0.803981623,Italy,648200,20909.67742,4517,5634,19322.87097
13,yes,01/04/2021,Alpha,4964,5410,0.917560074,Italy,439446,14648.2,4722,5113,13679.5
14,yes,01/05/2021,Alpha,2389,2906,0.822092223,Italy,195273,6299.129032,2262,2757,5930.483871
